Key,Translation
add,lägg till
alerts,Varningar
analog_input,Analog input
analog_inputs,Analog inputs
are_you_sure,Är du säker?
ato,ATO
cancel,Ångra
clear,Rensa
configure,Konfigurera
delete,Ta bort
disabled,Inaktiverad
documentation,Dokumentation
done,Klar
doser,Doserare
driver,Drivare
edit,Ändra
enabled,Aktivrad
equipment,Upsättning
errors,Fel
health,Tillstånd
in-use,upptagen
inlet,Ingång
inlets,Ingångar
jack,Uttag
jacks,Uttag
light,Ljus
loading,laddar
name,Namn
none,Ingen
ok,Ok
outlet,Utgång
outlets,Utgångar
pin,Stift
reverse,Motsatt
running,aktiv
save,Spara
sec,sek
second_s,sekund(s)
select,Välj
since,Sedan
unit,Enhet
update,Uppdatera
ato:alert_after,Varna efter
ato:ato_status,ATO status
ato:ato_usage,ATO Användning
ato:chk_freq,Kontrollera Frekvensen
ato:chk_freq_number, Kontrollera Frekvensen måste vara ett numerisk värde
ato:chk_freq_number_value,Kontrollera Frekvensen måste vara minst 1 sekund eller mer
ato:chk_freq_required,Kontrollera Frekvensen är obligatoriskt
ato:control_pump,Styr pump
ato:controlequipment,Styrverktyg
ato:controlmacro,Makro
ato:controlnothing,Inget
ato:disable_on_alert,Inaktivera vid larm
ato:inlet_required,obligatorisk
ato:name_required,Namn är obligatoriskt
ato:status_required,Status är obligatoriskt
ato:threshold_required,gränsvärde är obligatoriskt när avisering är aktiverad
ato:threshold_value,gränsvärde
ato:total_seconds_pump_on,Antal sekunder ATO pump är påslagen
ato:validation_error,ATO inställningarna kan ej sparas, updatera felaktga fält och försök igen
ato:warning_delete,Vill du ta bort?
capabilities:ato,ATO
capabilities:camera,Kamera
capabilities:configuration,Konfiguration
###capabilities:dashboard,Informationspanel
capabilities:dev_mode,
capabilities:doser,
capabilities:dosing_pumps,
capabilities:equipment,
capabilities:health_check,
capabilities:lighting,
capabilities:lights,
capabilities:log,
capabilities:macro,
capabilities:macros,
capabilities:manager,
capabilities:ph,
capabilities:temperature,
capabilities:timers,
collapsible:delete,
collapsible:edit,
color_picker:choose,
configuration:about:current_time,
configuration:about:status,
configuration:about:uptime,
configuration:about:version,
configuration:about:website,
configuration:admin:poweroff,
configuration:admin:reboot,
configuration:admin:reload,
configuration:admin:sign_out,
configuration:authentication:credentials,
configuration:authentication:error_pass,
configuration:authentication:error_user,
configuration:settings:address,
configuration:settings:alert_health_check,
configuration:settings:capabilities,
configuration:settings:capabilities_required,
configuration:settings:display,
configuration:settings:enable_profiling,
configuration:settings:enable_prometheus,
configuration:settings:interface,
configuration:settings:max_cpu,
configuration:settings:max_memory,
configuration:settings:name,
configuration:settings:name_required,
configuration:settings:network_address_required,
configuration:settings:network_interface_required,
configuration:settings:notification,
configuration:settings:rpi_pwm_freq,
configuration:settings:use_https,
configuration:tab:about,
configuration:tab:admin,
configuration:tab:authentication,
configuration:tab:connectors,
configuration:tab:drivers,
configuration:tab:errors,
configuration:tab:settings,
configuration:tab:telemetry,
cron:day_of_month,
cron:hour,
cron:minute,
cron:month,
cron:second,
cron:week,
dashboard:back_to_dashboard,
fatal_error:connection_lost,
fatal_error:fatal_error,
fatal_error:message,
fatal_error:troubleshoot,
health_chart:cpu_memory,
language:de,
language:en,
language:es,
language:fa,
language:fr,
language:hi,
language:it,
language:language,
language:nl,
language:pt,
language:zh,
log:content,
log:emitter,
log:time,
log:type,
ph:alert_above,
ph:alert_below,
ph:analog_input_required,
ph:calibrate,
ph:chart:current,
ph:chart:historical,
ph:check_frequency,
ph:control,
ph:control_required,
ph:controlequipment,
ph:controlmacro,
ph:controlnothing,
ph:current_reading,
ph:lower_function,
ph:lower_function_required,
ph:lower_threshold,
ph:lower_threshold_less_than,
ph:lower_threshold_required,
ph:lower_threshold_type,
ph:midpoint,
ph:name_required,
ph:period_min,
ph:period_required,
ph:period_type,
ph:run_calibration,
ph:second_point,
ph:status,
ph:status_required,
ph:threshold_greater_than,
ph:threshold_less_than,
ph:threshold_required,
ph:threshold_type,
ph:upper_function,
ph:upper_function_required,
ph:upper_threshold,
ph:upper_threshold_greater_than,
ph:upper_threshold_required,
ph:upper_threshold_type,
ph:validation_error,
ph:warn_delete,
pins:Pins,
signin:invalidcredentials,
signin:password,
signin:signin,
signin:username,
temperatur:controlnothing,
temperature:calibrate,
temperature:calibration:apply,
temperature:calibration:set_temperature,
temperature:celcius,
temperature:chart:current,
temperature:chart:historical,
temperature:chart_maximum,
temperature:chart_minimum,
temperature:control,
temperature:controlequipment,
temperature:controlmacro,
temperature:current_reading,
temperature:fahrenheit,
temperature:heater_cooler,
temperature:lower_function,
temperature:lower_threshold,
temperature:sensor,
temperature:sensor_status,
temperature:temperature,
temperature:upper_function,
temperature:upper_threshold,
temperature:validation_error,
temperature:warn_delete,
timers:after,
timers:and_then,
timers:day_required,
timers:duration_required,
timers:equipment,
timers:equipment:action,
timers:equipment:equipment,
timers:equipment:off,
timers:equipment:on,
timers:equipment:revert,
timers:equipment_required,
timers:function,
timers:hour_required,
timers:macro,
timers:macros,
timers:message,
timers:message_required,
timers:minute_required,
timers:name_required,
timers:on_required,
timers:reminder,
timers:sec,
timers:second_required,
timers:stay_off,
timers:stay_on,
timers:subject,
timers:subject_required,
timers:timer_status,
timers:timer_status_required,
timers:turn_back_off,
timers:turn_back_on,
timers:turn_off,
timers:turn_on,
timers:type_required,
timers:validation_error,
